hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0005,B03406,,2023-08-26 20:21:43,,2023-08-26 20:23:06,2023-08-26 20:47:30,112,79,4.795,1464,26.29,1.06,0.75,2.43,2.75,0.0,0.0,20.23,N,N,N,N,N
HV0003,B03404,B03404,2023-08-15 01:26:12,2023-08-15 01:30:25,2023-08-15 01:30:42,2023-08-15 01:57:29,132,72,8.6,1607,25.03,0.0,0.69,2.22,0.0,0.0,0.0,26.4,N,N, ,N,N
HV0005,B03406,,2023-08-06 05:05:53,,2023-08-06 05:09:40,2023-08-06 05:19:21,219,132,4.142,581,12.72,0.0,0.42,1.35,0.0,2.5,0.0,14.99,N,N,N,N,N
HV0003,B03404,B03404,2023-08-09 13:58:06,2023-08-09 14:00:54,2023-08-09 14:02:55,2023-08-09 14:14:56,78,94,1.57,721,12.53,0.0,0.34,1.11,0.0,0.0,0.0,8.84,N,N, ,N,N
HV0003,B03404,B03404,2023-08-09 19:12:21,2023-08-09 19:14:15,2023-08-09 19:14:28,2023-08-09 19:27:14,231,79,1.66,766,15.07,0.0,0.41,1.34,2.75,0.0,1.0,9.38,N,N, ,N,N
HV0003,B03404,B03404,2023-08-03 07:44:56,2023-08-03 07:51:37,2023-08-03 07:53:10,2023-08-03 07:57:31,119,247,0.92,261,10.74,0.0,0.3,0.95,0.0,0.0,0.0,5.39,N,N, ,N,N
HV0003,B03404,B03404,2023-08-23 22:29:48,2023-08-23 22:38:20,2023-08-23 22:38:45,2023-08-23 23:03:37,189,160,8.16,1492,28.58,0.0,0.79,2.54,0.0,0.0,3.19,24.96,N,N, ,N,N
HV0003,B03404,B03404,2023-08-31 12:19:13,2023-08-31 12:20:32,2023-08-31 12:21:53,2023-08-31 12:52:07,246,237,4.8,1814,36.92,0.0,1.02,3.28,2.75,0.0,0.0,23.36,N,N, ,N,N
HV0003,B03404,B03404,2023-08-13 16:52:26,2023-08-13 17:01:45,2023-08-13 17:01:45,2023-08-13 17:08:48,161,233,1.23,423,13.6,0.0,0.37,1.21,2.75,0.0,0.0,7.87,N,N, ,N,Y
HV0003,B03404,B03404,2023-08-14 13:55:39,2023-08-14 13:59:28,2023-08-14 14:00:28,2023-08-14 14:34:12,47,151,8.72,2024,20.57,0.0,0.57,1.83,0.75,0.0,0.0,16.85,Y,Y, ,N,N
HV0003,B03404,B03404,2023-08-08 13:03:18,2023-08-08 13:05:23,2023-08-08 13:06:24,2023-08-08 13:26:39,169,244,2.59,1215,13.35,0.0,0.37,1.18,0.0,0.0,0.0,14.82,N,N, ,N,N
HV0003,B03404,B03404,2023-08-24 06:46:35,2023-08-24 06:53:54,2023-08-24 06:54:00,2023-08-24 07:04:57,236,229,2.15,657,10.84,0.0,0.3,0.96,0.75,0.0,0.0,9.01,Y,N, ,N,N
HV0003,B03404,B03404,2023-08-15 12:03:04,2023-08-15 12:05:44,2023-08-15 12:06:01,2023-08-15 12:18:04,235,78,2.1,723,14.26,0.0,0.39,1.27,0.0,0.0,0.0,9.56,N,N, ,N,N
HV0003,B03404,B03404,2023-08-06 03:28:23,2023-08-06 03:32:35,2023-08-06 03:33:22,2023-08-06 03:52:57,9,132,12.49,1175,34.18,0.0,1.01,3.26,0.0,2.5,5.0,27.45,N,N, ,N,N
HV0003,B03404,B03404,2023-08-26 22:32:36,2023-08-26 22:36:26,2023-08-26 22:36:48,2023-08-26 22:49:24,144,231,1.38,756,27.58,0.0,0.76,2.45,2.75,0.0,0.0,16.0,N,N, ,N,N
HV0003,B03404,B03404,2023-08-22 16:45:19,2023-08-22 16:46:44,2023-08-22 16:46:53,2023-08-22 16:59:31,116,41,1.99,758,13.39,0.0,0.37,1.19,0.0,0.0,0.0,9.73,N,N, ,N,N
HV0003,B03404,B03404,2023-08-14 20:35:59,2023-08-14 20:40:08,2023-08-14 20:40:15,2023-08-14 20:59:25,138,37,6.73,1150,27.9,0.0,0.84,2.7,0.0,2.5,0.0,19.88,N,N, ,N,N
HV0003,B03404,B03404,2023-08-08 19:30:14,2023-08-08 19:32:57,2023-08-08 19:34:19,2023-08-08 19:46:30,14,14,2.27,731,16.12,0.0,0.44,1.43,0.0,0.0,0.0,9.85,N,N, ,N,N
HV0003,B03404,B03404,2023-08-17 08:08:16,2023-08-17 08:09:52,2023-08-17 08:10:01,2023-08-17 08:24:50,241,174,1.99,889,10.67,0.0,0.29,0.95,0.0,0.0,0.0,10.97,N,N, ,N,N
HV0003,B03404,B03404,2023-08-09 10:13:42,2023-08-09 10:16:17,2023-08-09 10:16:25,2023-08-09 10:29:17,83,7,3.28,772,15.18,0.0,0.42,1.35,0.0,0.0,0.0,11.57,N,N, ,N,N
HV0003,B03404,B03404,2023-08-17 18:27:42,2023-08-17 18:29:49,2023-08-17 18:30:14,2023-08-17 19:06:55,122,229,19.45,2201,46.98,6.94,1.48,4.79,2.75,0.0,0.0,46.48,N,N, ,N,N
