Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2021-07-16,55.02,55.51,53.14,53.4,53.4,4546600,2021,7,16
2021-07-17,55.02,55.51,53.14,53.4,53.4,0,2021,7,17
2021-07-18,55.02,55.51,53.14,53.4,53.4,0,2021,7,18
2021-07-19,52.06,52.18,50.54,51.72,51.72,7056800,2021,7,19
2021-07-20,52.01,53.06,50.78,52.95,52.95,5018900,2021,7,20
2021-07-21,53.0,56.12,52.94,55.77,55.77,5955400,2021,7,21
2021-07-22,55.75,56.08,54.36,55.14,55.14,4418900,2021,7,22
2021-07-23,55.66,55.73,54.47,54.9,54.9,2730200,2021,7,23
2021-07-24,55.66,55.73,54.47,54.9,54.9,0,2021,7,24
2021-07-25,55.66,55.73,54.47,54.9,54.9,0,2021,7,25
2021-07-26,54.89,55.9,53.76,54.39,54.39,3894400,2021,7,26
2021-07-27,53.74,53.99,52.2,53.32,53.32,3389600,2021,7,27
2021-07-28,53.96,55.79,53.71,55.77,55.77,4639100,2021,7,28
2021-07-29,55.3,57.53,54.81,56.74,56.74,4140100,2021,7,29
2021-07-30,56.08,56.69,55.08,55.32,55.32,2842200,2021,7,30
2021-07-31,56.08,56.69,55.08,55.32,55.32,0,2021,7,31
2021-08-01,56.08,56.69,55.08,55.32,55.32,0,2021,8,1
2021-08-02,54.97,57.76,54.76,56.0,56.0,4798900,2021,8,2
2021-08-03,56.36,56.36,53.84,55.38,55.38,9309600,2021,8,3
2021-08-04,54.03,54.27,49.44,49.53,49.53,21655100,2021,8,4
2021-08-05,49.6,53.75,49.53,52.42,52.42,10310800,2021,8,5
2021-08-06,52.51,53.6,52.22,52.44,52.44,4536100,2021,8,6
2021-08-07,52.51,53.6,52.22,52.44,52.44,0,2021,8,7
2021-08-08,52.51,53.6,52.22,52.44,52.44,0,2021,8,8
2021-08-09,52.12,52.6,51.17,52.13,52.13,3872200,2021,8,9
2021-08-10,52.58,54.03,52.53,53.85,53.85,3612600,2021,8,10
2021-08-11,53.44,54.04,52.03,53.91,53.91,4266600,2021,8,11
2021-08-12,54.61,54.82,53.02,53.82,53.82,3243400,2021,8,12
2021-08-13,53.91,54.15,52.94,53.39,53.39,2776800,2021,8,13
2021-08-14,53.91,54.15,52.94,53.39,53.39,0,2021,8,14
2021-08-15,53.91,54.15,52.94,53.39,53.39,0,2021,8,15
2021-08-16,52.58,52.58,50.37,50.83,50.83,4082600,2021,8,16
2021-08-17,50.05,50.5,48.19,49.11,49.11,5530100,2021,8,17
2021-08-18,49.16,50.61,48.89,49.58,49.58,3198200,2021,8,18
2021-08-19,49.2,49.3,46.35,46.79,46.79,7034400,2021,8,19
2021-08-20,46.34,46.49,44.77,45.89,45.89,11142100,2021,8,20
2021-08-21,46.34,46.49,44.77,45.89,45.89,0,2021,8,21
2021-08-22,46.34,46.49,44.77,45.89,45.89,0,2021,8,22
2021-08-23,44.49,47.25,44.06,47.24,47.24,9545800,2021,8,23
2021-08-24,47.42,48.27,47.3,47.67,47.67,7341500,2021,8,24
2021-08-25,47.88,49.56,46.86,49.43,49.43,5597600,2021,8,25
2021-08-26,49.36,50.45,48.16,48.6,48.6,3069600,2021,8,26
2021-08-27,48.12,49.25,48.12,48.39,48.39,2766900,2021,8,27
2021-08-28,48.12,49.25,48.12,48.39,48.39,0,2021,8,28
2021-08-29,48.12,49.25,48.12,48.39,48.39,0,2021,8,29
2021-08-30,48.43,48.71,46.92,47.13,47.13,4307000,2021,8,30
2021-08-31,47.16,48.1,47.13,47.61,47.61,5075600,2021,8,31
2021-09-01,48.0,49.59,47.84,48.37,48.37,4550300,2021,9,1
2021-09-02,49.0,49.97,48.2,49.3,49.3,3808300,2021,9,2
2021-09-03,49.19,49.19,47.73,48.21,48.21,3745900,2021,9,3
2021-09-04,49.19,49.19,47.73,48.21,48.21,0,2021,9,4
2021-09-05,49.19,49.19,47.73,48.21,48.21,0,2021,9,5
2021-09-06,49.19,49.19,47.73,48.21,48.21,0,2021,9,6
2021-09-07,48.58,50.83,48.45,50.59,50.59,6125700,2021,9,7
2021-09-08,50.48,51.24,49.03,49.81,49.81,3456300,2021,9,8
2021-09-09,49.47,51.12,49.3,50.51,50.51,3236100,2021,9,9
2021-09-10,51.19,51.7,49.98,50.01,50.01,3333000,2021,9,10
2021-09-11,51.19,51.7,49.98,50.01,50.01,0,2021,9,11
2021-09-12,51.19,51.7,49.98,50.01,50.01,0,2021,9,12
2021-09-13,50.94,52.55,49.48,51.84,51.84,4018700,2021,9,13
2021-09-14,51.59,52.21,50.08,50.53,50.53,5012700,2021,9,14
2021-09-15,50.85,51.2,50.01,51.01,51.01,3506300,2021,9,15
2021-09-16,50.75,52.47,50.58,52.39,52.39,4322600,2021,9,16
2021-09-17,52.77,53.09,51.62,52.18,52.18,5396500,2021,9,17
2021-09-18,52.77,53.09,51.62,52.18,52.18,0,2021,9,18
2021-09-19,52.77,53.09,51.62,52.18,52.18,0,2021,9,19
2021-09-20,50.43,52.08,50.3,51.12,51.12,4322700,2021,9,20
2021-09-21,52.65,55.02,52.14,54.45,54.45,8427100,2021,9,21
2021-09-22,54.96,55.77,54.51,54.69,54.69,4972000,2021,9,22
2021-09-23,55.42,56.14,54.81,55.64,55.64,5155000,2021,9,23
2021-09-24,55.07,56.16,55.01,55.86,55.86,3322400,2021,9,24
2021-09-25,55.07,56.16,55.01,55.86,55.86,0,2021,9,25
2021-09-26,55.07,56.16,55.01,55.86,55.86,0,2021,9,26
2021-09-27,55.78,56.7,55.49,55.98,55.98,3253900,2021,9,27
2021-09-28,55.7,56.02,54.01,54.18,54.18,2757800,2021,9,28
2021-09-29,54.94,54.94,53.19,53.32,53.32,3162800,2021,9,29
2021-09-30,53.22,53.95,52.33,53.59,53.59,3454500,2021,9,30
2021-10-01,54.4,55.76,53.87,55.48,55.48,4369200,2021,10,1
2021-10-02,54.4,55.76,53.87,55.48,55.48,0,2021,10,2
2021-10-03,54.4,55.76,53.87,55.48,55.48,0,2021,10,3
2021-10-04,54.41,54.91,52.8,53.68,53.68,3905400,2021,10,4
2021-10-05,53.93,54.26,52.89,52.92,52.92,2881200,2021,10,5
2021-10-06,52.59,54.4,52.29,54.16,54.16,3466300,2021,10,6
2021-10-07,54.56,56.1,54.17,54.7,54.7,3813900,2021,10,7
2021-10-08,55.02,56.61,54.31,54.89,54.89,3234700,2021,10,8
2021-10-09,55.02,56.61,54.31,54.89,54.89,0,2021,10,9
2021-10-10,55.02,56.61,54.31,54.89,54.89,0,2021,10,10
2021-10-11,54.79,54.91,52.8,52.8,52.8,2971100,2021,10,11
2021-10-12,53.0,53.19,52.15,52.55,52.55,2978500,2021,10,12
2021-10-13,52.52,53.45,51.92,53.24,53.24,2884900,2021,10,13
2021-10-14,53.24,53.26,50.28,50.51,50.51,9119000,2021,10,14
